id,vote_average,vote_count,popularity,release_date,original_language
150202,5.6,175,11.708343,2013-02-01,en
19644,6.6,28,2.60632,2003-12-24,ko
29963,6.8,107,9.230073,2009-11-05,en
26022,7.7,232,14.719886,2010-02-12,en
152747,6.6,671,28.540614,2013-10-18,en
62676,7.0,17,0.034259,1999-06-04,en
20360,6.6,29,1.840511,2007-03-27,en
1116,7.1,154,6.787967,2006-05-18,en
185008,7.2,79,3.353176,2013-05-31,hi
11620,7.0,63,7.973109,1951-11-08,en
14353,6.7,100,5.897479,2008-07-18,en
11818,4.3,7,1.465762,2006-02-03,tr
680,8.3,8428,121.463076,1994-10-08,en
11176,7.0,164,10.639916,1979-05-31,en
242582,7.6,3395,89.095538,2014-10-23,en
11217,5.1,107,2.62082,2004-02-27,en
15121,7.4,941,37.960289,1965-03-02,en
2619,6.1,321,21.735068,1984-03-09,en
773,7.5,1686,14.793177,2006-07-26,en
235,7.8,1522,51.109279,1986-08-22,en
170,7.1,1777,45.490374,2002-10-31,en
14114,4.8,75,3.804597,2004-01-30,en
10734,7.2,561,26.356697,1979-06-22,en
37964,7.0,31,3.501158,2002-10-05,en
28121,5.7,15,2.088251,1996-04-04,en
40807,7.0,1261,33.372828,2011-09-30,en
10885,5.3,180,8.864368,2008-03-21,en
225565,6.1,1004,37.821106,2014-01-29,en
16471,5.6,23,4.293706,1981-12-25,en
385736,7.5,18,3.467923,2016-09-09,en
11971,7.2,189,10.19377,1993-05-07,en
668,6.5,456,25.289665,1969-12-12,en
11596,6.4,291,14.730796,1994-10-13,en
14429,5.8,62,4.482714,1999-10-01,en
13751,6.7,81,4.932893,2006-04-28,en
9490,6.4,177,7.894489,1998-01-16,en
14536,5.2,99,13.987772,2009-01-30,en
1359,7.3,2066,45.310443,2000-04-13,en
9962,6.1,181,9.799177,2002-01-12,en
15049,6.5,42,5.069095,2006-07-06,fr
22821,5.9,261,13.517017,2009-11-24,en
42819,5.7,9,1.353971,2009-03-21,en
209263,6.6,348,14.969093,2013-09-18,en
37735,6.7,2210,45.395839,2010-09-10,en
59930,3.9,5,0.269661,1994-04-22,en
10873,6.6,148,5.93923,2000-05-15,en
51588,5.7,134,11.837067,2011-04-29,en
23570,4.6,30,2.149469,1996-05-03,en
19489,4.9,11,1.569449,1999-10-08,en
14629,5.5,46,3.535789,2000-09-22,en
8293,6.9,95,5.897391,1992-03-13,en
291270,7.0,459,21.024346,2015-12-30,en
44009,7.0,97,7.235794,2010-11-05,en
1958,6.9,196,8.204829,2002-01-08,fr
13154,5.7,95,8.403859,1991-08-23,en
26618,6.3,39,4.221313,1998-09-25,en
43923,6.9,672,13.143045,2010-07-06,en
46138,6.6,94,6.138802,2010-09-11,en
45791,6.9,13,1.939054,2007-10-05,en
26306,6.7,21,8.717235,1997-01-24,en
110683,4.3,4,0.289433,1983-04-21,en
26963,7.3,181,10.621353,2009-02-09,en
198277,7.3,1254,35.735689,2013-09-07,en
7870,5.9,63,7.433574,2005-05-13,en
13072,5.8,18,4.090382,2007-04-30,en
153397,4.9,8,0.812776,2012-12-07,en
30141,5.9,41,6.335881,2003-10-24,en
17044,7.0,3,1.278092,1998-09-25,en
10288,6.6,135,5.244518,2006-09-07,en
12183,5.2,16,1.265683,2005-08-03,en
44147,6.4,215,10.791954,2010-06-17,en
12192,5.6,144,9.782433,2008-04-11,en
36597,6.9,37,4.409263,2009-01-18,en
13197,6.3,24,3.942464,2006-02-19,en
10913,5.6,33,2.597665,2005-01-22,en
251321,5.1,41,6.500835,2014-02-12,en
149,7.8,773,39.338097,1988-07-16,ja
10425,5.8,103,12.893219,2007-07-23,en
49081,6.1,17,0.983484,2005-10-25,fr
256687,4.6,21,2.214925,2014-04-20,en
220488,4.3,8,1.86453,2013-09-17,zh
1544,7.0,177,9.100352,2005-02-01,en
374461,7.0,129,7.828459,2016-09-16,en
302,6.4,153,11.000654,2003-05-18,en
182873,5.4,33,5.0005,2013-01-01,en
21512,5.9,31,6.41678,1989-10-19,en
389425,4.1,16,2.101718,2016-05-06,en
403,7.0,350,19.585801,1989-12-13,en
29461,6.6,19,4.105363,1997-09-26,en
33542,6.5,240,17.318839,1995-01-30,cn
283708,6.6,43,3.363973,2014-08-30,fr
9388,7.1,664,29.01153,2005-09-05,en
1691,5.6,453,20.745052,2007-06-08,en
24684,6.8,409,16.990308,2009-10-29,en
2610,5.7,75,4.820166,2005-10-21,en
11308,5.8,26,2.226412,1984-03-09,en
11022,6.8,142,8.526635,2002-01-14,en
34341,4.5,7,1.369528,2002-09-20,en
15365,4.0,26,1.82184,2008-02-22,en
36046,6.1,7,0.571663,2004-11-24,en
12569,5.7,192,14.652342,2009-09-03,en
24356,5.2,13,1.71729,2003-08-08,en
55903,7.0,3,0.024186,2001-09-01,fr
2577,6.2,116,8.859657,2003-09-02,en
103903,5.8,2,0.086731,2012-04-27,en
73873,6.2,132,7.802245,2011-12-21,en
312113,6.4,4,1.589693,2012-12-07,en
14165,6.0,13,0.553752,2007-04-27,hi
2011,7.7,450,24.281951,2007-05-23,fr
45650,5.6,244,9.983004,2009-09-09,en
7735,7.5,841,25.281197,2008-03-11,de
301365,6.4,887,38.150787,2016-06-08,en
25941,6.7,348,16.829837,2009-11-11,en
29064,4.4,17,1.288173,1999-10-15,en
7326,7.0,2244,19.782725,2007-12-05,en
326284,5.5,63,4.943588,2015-05-07,en
681,6.3,553,34.634181,1971-12-13,en
238,8.4,5893,143.659698,1972-03-14,en
535,6.1,302,18.422323,1983-04-14,en
19913,7.2,2904,45.610993,2009-07-17,en
713,7.1,281,17.681707,1993-05-19,en
77930,6.1,1040,35.897151,2012-06-28,en
10727,4.9,161,11.199544,2003-01-24,en
253,6.4,533,30.465138,1973-07-05,en
17908,6.5,69,5.675535,2000-01-14,en
8390,6.7,620,29.173266,2008-02-08,en
57119,6.0,56,4.492455,2011-05-06,en
3291,6.8,273,17.717681,2005-09-16,en
398,6.8,384,17.434862,2005-09-30,en
8068,6.8,881,25.511217,1995-08-25,en
10803,6.6,269,12.268143,1976-06-23,en
682,6.3,524,30.214716,1974-12-01,en
10117,4.9,50,6.872784,1988-02-12,en
9392,6.8,1005,23.413188,2005-07-08,en
24977,7.5,10,1.830306,2000-05-05,en
79316,4.4,216,14.741589,2014-01-08,en
2074,6.3,66,5.500324,1996-03-22,en
1696,6.6,322,16.754452,2005-07-22,en
308639,7.2,691,29.761163,2015-06-19,en
22314,6.2,17,2.772178,1999-08-25,en
2662,6.0,306,19.301432,2003-04-11,en
77156,4.0,3,0.000372,1978-11-22,en
12573,6.6,483,23.612409,2009-10-02,en
44718,6.5,100,6.557643,2010-01-22,en
11342,5.8,95,9.887662,1989-06-01,en
241771,7.0,139,8.079046,2014-09-10,en
34653,7.3,463,21.626288,2009-10-19,en
11051,7.0,201,14.672151,1988-08-12,en
14578,5.6,30,2.627232,1999-08-16,en
57825,6.5,110,12.150871,2004-02-11,en
9555,6.8,84,2.128211,2002-02-04,en
15581,3.8,18,2.881239,2007-07-27,en
13006,5.7,63,4.857028,1992-05-01,en
16651,6.7,14,2.206097,2001-04-12,en
4251,7.4,64,3.721858,2004-11-12,hi
12400,6.4,76,5.091253,2008-04-07,en
